address,miner,description,total
0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,2Miners,2Miners: PPLNS,93054
0x002e08000acbbae2155fab7ac01929564949070d,2Miners,2Miners: SOLO,52031
0xc839ee5542b4e8413246b3634c5c739fea949562,AlphaPool,AlphaPool,38
0x45a36a8e118c37e4c47ef4ab827a7c9e579e11e2,AntPool,AntPool,23523
0xa855c20a1351acd2690c716e2709c7dff3978d12,AntPool,AntPool,6667
0xb3b7874f13387d44a3398d298b075b7a3505d8d4,Babel Pool,Babel Pool,89611
0xff1b891969773159366ab6310ff63a69ac4acffd,BaikalMine 1,BaikalMine 1,3034
0x4ff271d3e8298213be3d88d257f3973a4b6d727b,Baypool,Baypool,66
0x99c85bb64564d9ef9a99621301f22c9993cb89e3,BeePool,BeePool,130547
0xf3b9d2c81f2b24b0fa0acaaa865b7d9ced5fc2fb,BitClubPool,BitClubPool,106258
0xeea5b82b61424df8020f5fedd81767f2d0d25bfb,BTC.com Pool,BTC.com Pool,49620
0xc0ea08a2d404d3172d2add29a45be56da40e2949,Bw Pool,Bw Pool,154185
0x52e44f279f4203dcf680395379e5f9990a69f13c,Bw Pool,Bw Pool,44807
0xbcdfc35b86bedf72f0cda046a3c16829a2ef41d1,Bw Pool,Bw Pool,133264
0x68795c4aa09d6f4ed3e5deddf8c2ad3049a601da,CoinMine.pl,CoinMine.pl,48848
0x6a7a43be33ba930fe58f34e07d0ad6ba7adb9b1f,Coinotron,Coinotron 3,42557
0xa42af2c70d316684e57aefcc6e393fecb1c7e84e,Coinotron,Coinotron 2,70744
0xf8b483dba2c3b7176a3da549ad41a48bb3121069,Coinotron,Coinotron 1,162265
0xe5a349fc4ff853dfdd0b7eaaa9dcd8918e768f49,CoolPool.Top,CoolPool.Top: SOLO,62
0x249bdb4499bd7c683664c149276c1d86108e2137,Cruxpool,Cruxpool,5004
0xcf0e04cc0b8fcd66f42679bce42bf2569f438234,DigiPools,DigiPools,194
0x151255dd9e38e44db38ea06ec66d0d113d6cbe37,DwarfPool,DwarfPool 2,33315
0x2a65aca4d5fc5b5c859090a6c34d164135398226,DwarfPool,DwarfPool,940219
0xc4aeb20798368c48b27280847e187bb332b9bc77,Easy2Mine,Easy2Mine,11023
0xa027231f42c80ca4125b5cb962a21cd4f812e88f,Eth.pp.ua,Eth.pp.ua,27480
0xf35074bbd0a9aee46f4ea137971feec024ab704e,ETH.SoloPool.org,ETH.SoloPool.org,7723
0x52f13e25754d822a3550d0b68fdefe9304d27ae8,EthashPool,EthashPool 2,3165
0x8fce1ef27f3add1411c7a99be402de598ad38389,EthashPool,EthashPool 1,1109
0x8d35067233605bef6069191ae0922d134ff80d48,EtherDig,EtherDig,1695
0x9d551f41fed6fc27b719777c224dfecce170004d,EthereumPool,EthereumPool,5809
0xea674fdde714fd979de3edf0f56aa9716b898ec8,Ethermine,Ethermine,2662339
0x1e9939daaad6924ad004c2560e90804164900341,ethfans.org,ethfans.org,182950
0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,Ethpool,Ethpool 2,282610
0xe6a7a1d47ff21b6321162aea7c6cb457d5476bca,Ethpool,Ethpool,31322
0x6537b65a50a862391515455272f9b6c7168afe94,ExtremeHash,ExtremeHash,89
0x8595dd9e0438640b5e1254f9df579ac12a86865f,EzilPool,EzilPool 2,31374
0xcc22cb1b6625b64e81909456111d76be6158dfbc,EzilPool,EzilPool 1,2304
0x61c808d82a3ac53231750dadc13c777b59310bd9,F2Pool,F2Pool Old,481983
0x829bd824b016326a401d083b33d092293333a830,F2Pool,F2Pool Old,1245781
0xf20b338752976878754518183873602902360704,F2Pool,F2Pool,13845
0x35f61dfb08ada13eba64bf156b80df3d5b3a738d,firepool,firepool,58800
0xb6cf40aee9990c25d7d6193952af222e120b31c2,FKPool,FKPool,2121
0x7f101fe45e6649a6fb8f3f8b43ed03d353f2b90c,Flexpool.io,Flexpool.io,20995
0xd34da389374caad1a048fbdc4569aae33fd5a375,Genesis Mining,Genesis Mining,14592
0xd0db3c9cf4029bac5a9ed216cd174cba5dbf047c,HashON Pool,HashON Pool,387
0x1ad91ee08f21be3de0ba2ba6918e714da6b45836,Hiveon,Hiveon Pool,112173
0x4c549990a7ef3fea8784406c1eecc98bf4211fa5,Hiveon,Hiveon: Old Pool,71369
0x14b30f257c2737370203a15aa343c2b600dfb675,Huixingpool.com,Huixingpool.com,80
0x9d6d492bd500da5b33cf95a5d610a73360fcaaa0,Huobi Mining Pool,Huobi Mining Pool,28313
0xf64f9720cfcb59ca4f5f45e6fdb3f68b875b7295,ICanMining.ru,ICanMining.ru,766
0x433022c4066558e7a32d850f02d2da5ca782174d,K1POOL.COM,K1POOL.COM,4136
0x4e4e23ac3c11789e23169025503ea4373b01417b,KuveraPool,KuveraPool,716
0x7f3b29ae0d5edae9bb148537d4ed2b12beddf8b3,MATPool,MATPool,3288
0x6c3183792fbb4a4dd276451af6baf5c66d5f5e48,MaxHash,MaxHash: EthPool,2106
0xcf6ce585cb4a78a6f96e6c8722927161a696f337,MaxHash,MaxHash: Solo Mining,1232
0x09ab1303d3ccaf5f018cd511146b07a240c70294,Minerall Pool,Minerall Pool,43256
0xbbbbbbbb49459e69878219f906e73aa325ff2f0c,Mining DAO,Mining DAO: Block Producer,620
0x06b8c5883ec71bc3f4b332081519f23834c8706e,Mining Express,Mining Express,50585
0x1a060b0604883a99809eb3f798df71bef6c358f1,MiningPoolHub,MiningPoolHub,38886
0x3ecef08d0e2dad803847e052249bb4f8bff2d5bb,MiningPoolHub,MiningPoolHub,71726
0xb2930b35844a230f00e51431acae96fe543a0347,MiningPoolHub,MiningPoolHub,465731
0x2a98776c7e13ed1c240858bd241dcf95fc1928b4,myminers.org,myminers.org: Solo,290
0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,Nanopool,Nanopool,1222890
0xd5bbb4264b70ca4f58c45d27b9d7e11190754a54,NoobPool,NoobPool,203
0x2a5994b501e6a560e727b6c2de5d856396aadd38,PandaMiner,PandaMiner,56724
0x6b7d50bb8fab584e54251a10e1c6cfa51dd7b618,PandaPool,PandaPool,7485
0x47c439c8784b44366735fc2cfe08228cb91d5b8e,PoolHub,PoolHub,15
0xa7b0536fb02c593b0dfd82bd65aacbdd19ae4777,Poolin,Poolin,19718
0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,Spark Pool,Spark Pool,2043550
0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,Suprnova,Suprnova,41733
0x63a9975ba31b0b9626b34300f7f627147df1f526,Suprnova,Suprnova 2,55651
0xa3c084ae80a3f03963017669bc696e961d3ae5d5,Uleypool,Uleypool,2703
0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,UUPool,UUPool,127781
0x44fd3ab8381cc3d14afa7c4af7fd13cdc65026e1,Whalesburg Pool,W POOL,10907
0x9435d50503aee35c8757ae4933f7a0ab56597805,WaterholePool,WaterholePool,31044
0xd1e56c2e765180aa0371928fd4d1e41fbcda34d4,Weipool,Weipool,3157
0x7c6694032b4db11ac485e1cff0f7509d58b41569,Whalesburg Pool,Whalesburg Pool: Old Address,2019
0x005e288d713a5fb3d7c9cf1b43810a98688c7223,xnpool.cn,xnpool.cn,68602
0xe4bdced60430a90f31dba03524dd5d15a2670649,xnpool.cn,xnpool.cn,9294
0x6a851246689eb8fc77a9bf68df5860f13f679fa0,ZET Technologies,ZET Technologies,2523
0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,zhizhu.top,zhizhu.top,294693