miner,europe,us,asia,china,russia,unknown,url
2Miners,95,4,1,,,,https://solo-eth.2miners.com
Bw Pool,32,10,58,,,,https://eth.bwpool.net
Coinotron,92,8,,,,,https://www.coinotron.com/
DwarfPool,84,12,4,,,,
Ethermine,72,15,13,,,,https://ethermine.org
F2Pool,23,10,67,,,,https://www.f2pool.com
firepool,27,13,60,,,,https://firepool.com
Hiveon,85,14,1,,,,https://hiveon.net
Huobi Mining Pool,49,25,26,,,,https://www.hpt.com/pow/?lang=en
Nanopool,94,6,,,,,https://eth.nanopool.org
PandaPool,24,11,65,,,,
Spark Pool,20,10,70,,,,https://sparkpool.com
UUPool,6,4,90,,,,https://uupool.cn/eth
xnpool.cn,32,14,54,,,,https://www.xnpool.com/
zhizhu.top,24,9,67,,,,https://www.spiderpool.com/
AlphaPool,,,,,,1,
EthereumPool,,,,,,1,
ExtremeHash,,,,,,1,https://extremehash.io/
HashON Pool,,,,,,1,https://hashon.me/
Huixingpool.com,,,,,,1,
Weipool,,,,,,1,http://weipool.org/
AntPool,,,,1,,,https://antpool.com
Babel Pool,,1,,,,,https://babelpool.com
BaikalMine 1,,,,,1,,https://baikalmine.com/en/solo/eth
Baypool,,,,,1,,http://eth.baypool.org
BeePool,,,,1,,,https://beepool.org/coindetail/eth
BitClubPool,1,1,1,,,,https://www.bitclubpool.com/en/
BTC.com Pool,22,5,73,,,,https://pool.btc.com/
CoinMine.pl,1,1,1,,,,https://www2.coinmine.pl/eth
CoolPool.Top,,,,,1,,https://coolpool.top/pool?coin=ethSolo&type=solo
Cruxpool,1,1,1,,,,https://cruxpool.com/eth
DigiPools,,1,,,,,https://eth.digipools.org
Easy2Mine,,,,1,,,https://easy2mine.com
Eth.pp.ua,1,,,,1,,
ETH.SoloPool.org,1,,,,,,https://eth.solopool.org
EthashPool,,1,,,,,https://ethashpool.com/eth
EtherDig,,,,,1,,
ethfans.org,,,,1,,,
Ethpool,1,1,1,,,,https://ethpool.org
EzilPool,1,1,1,,,,https://ezil.me
FKPool,,,,1,,,http://fkpool.cn/
Flexpool.io,1,1,,,,,https://flexpool.io
Genesis Mining,1,,,,,,https://www.genesis-mining.com/ethereum
ICanMining.ru,,,,,1,,https://icanmining.ru?l=en&d=pool&pool=eth
K1POOL.COM,1,1,,1,,,https://k1pool.com/
KuveraPool,,1,,,,,
MATPool,,,,1,,,https://matpool.com/
MaxHash,1,1,1,,,,https://ethsolo.maxhash.org
Minerall Pool,1,,,,,,https://minerall.io/ethereum
Mining DAO,1,1,,,,,https://miningdao.io/help
Mining Express,,1,,,,,https://miningexpress.com
MiningPoolHub,1,1,1,,,,https://ethereum.miningpoolhub.com
myminers.org,1,,,,,,https://solo-eth.myminers.org
NoobPool,,1,,,,,
PandaMiner,,,,1,,,https://eth.pandaminer.com/?utm_source=cypherhunter
PoolHub,,1,,,,,http://poolhub.org/
Poolin,,1,,1,,,https://www.poolin.com
Suprnova,1,1,1,,,,https://www.suprnova.cc/
Uleypool,,,,,1,,
WaterholePool,,,,1,,,
Whalesburg Pool,1,,,,,,https://whalesburg.com
ZET Technologies,1,,,,,,https://eth.zet-tech.eu